,id,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,room_type_Entire home/apt,room_type_Private room,room_type_Shared room
0,2454,137,7,1,1.0,65,0,0,1,0,0,1,0,0
1,2539,149,1,9,0.23,365,0,1,0,0,0,0,1,0
2,2595,225,1,43,0.38,365,0,0,1,0,0,1,0,0
3,3330,70,5,39,0.35,290,0,1,0,0,0,0,1,0
4,3647,150,3,0,0.0,365,0,0,1,0,0,0,1,0
5,3831,89,1,231,4.37,162,0,1,0,0,0,1,0,0
6,5022,80,10,9,0.11,48,0,0,1,0,0,1,0,0
7,5099,185,2,70,0.59,0,0,0,1,0,0,1,0,0
8,5121,60,45,49,0.42,0,0,1,0,0,0,0,1,0
9,5178,79,2,410,3.46,150,0,0,1,0,0,0,1,0
10,5203,79,2,118,1.03,0,0,0,1,0,0,0,1,0
11,5216,126,26,35,0.29,337,0,0,1,0,0,1,0,0
12,5238,150,1,153,1.33,262,0,0,1,0,0,1,0,0
13,5295,135,5,43,0.36,53,0,0,1,0,0,1,0,0
14,5441,85,2,170,1.41,0,0,0,1,0,0,0,1,0
15,5586,175,3,38,0.32,41,0,0,1,0,0,1,0,0
16,5803,89,4,162,1.36,336,0,1,0,0,0,0,1,0
17,6021,85,2,100,0.84,365,0,0,1,0,0,0,1,0
18,6090,175,100,27,0.23,108,0,0,1,0,0,1,0,0
19,6848,140,2,122,1.03,92,0,1,0,0,0,1,0,0
20,6990,75,30,229,2.03,315,0,0,1,0,0,0,1,0
21,7036,65,3,4,0.04,365,0,1,0,0,0,0,1,0
22,7097,215,2,179,1.62,330,0,1,0,0,0,1,0,0
23,7322,140,1,246,2.1,0,0,0,1,0,0,0,1,0
24,7726,99,3,31,4.63,76,0,1,0,0,0,1,0,0
25,7801,299,3,9,0.08,0,0,1,0,0,0,1,0,0
26,7970,120,35,38,0.33,254,0,0,1,0,0,1,0,0
27,8024,130,2,124,1.09,365,0,1,0,0,0,0,1,0
28,8110,100,2,64,0.58,365,0,1,0,0,0,0,1,0
29,8343,211,3,16,0.18,8,0,0,1,0,0,1,0,0
30,8490,120,2,77,0.67,242,0,1,0,0,0,1,0,0
31,8505,60,1,16,1.85,89,0,1,0,0,0,0,1,0
32,8700,80,4,0,0.0,0,0,0,1,0,0,0,1,0
33,9357,150,10,58,0.51,60,0,0,1,0,0,1,0,0
34,9518,44,3,106,1.15,344,0,0,1,0,0,0,1,0
35,9657,180,2,27,0.24,195,0,0,1,0,0,1,0,0
36,9668,50,3,230,2.02,348,0,0,1,0,0,0,1,0
37,9704,52,2,80,1.41,365,0,0,1,0,0,0,1,0
38,9782,55,4,188,1.65,342,0,1,0,0,0,0,1,0
39,9783,50,3,259,2.35,355,0,0,1,0,0,0,1,0
40,10452,70,1,72,0.67,250,0,1,0,0,0,0,1,0
41,10962,89,4,164,1.44,319,0,1,0,0,0,0,1,0
42,11452,35,60,0,0.0,337,0,1,0,0,0,0,1,0
43,11708,85,2,206,1.83,45,0,1,0,0,0,1,0,0
44,11943,150,1,0,0.0,365,0,1,0,0,0,0,1,0
45,12048,40,1,209,1.85,268,0,0,1,0,0,0,0,1
46,12192,68,2,237,2.1,26,0,0,1,0,0,0,1,0
47,12299,120,3,11,0.34,364,0,1,0,0,0,1,0,0
48,12303,120,7,25,0.24,365,0,1,0,0,0,0,1,0
49,12318,135,4,76,0.68,196,0,0,1,0,0,0,1,0
50,12343,150,7,94,0.85,268,0,0,1,0,0,1,0,0
51,12627,150,7,6,0.35,0,0,1,0,0,0,1,0,0
52,12937,130,3,230,2.19,225,0,0,0,1,0,0,1,0
53,12940,110,7,56,0.5,0,0,1,0,0,0,1,0,0
54,13050,115,3,11,0.1,155,0,1,0,0,0,1,0,0
55,13394,80,3,130,1.17,294,0,1,0,0,0,0,1,0
56,13552,120,4,199,1.78,9,0,0,1,0,0,1,0,0
57,13808,80,1,107,1.01,195,0,1,0,0,0,0,1,0
58,14287,170,2,54,0.49,313,0,0,1,0,0,1,0,0
59,14290,224,3,75,0.67,177,0,1,0,0,0,1,0,0
60,14314,144,2,139,1.25,196,0,1,0,0,0,1,0,0
61,14322,200,7,17,0.21,200,0,0,1,0,0,1,0,0
62,14377,140,2,102,0.92,26,0,1,0,0,0,1,0,0
63,14468,85,3,15,0.84,304,0,0,1,0,0,0,1,0
64,14694,145,4,6,0.07,364,0,1,0,0,0,0,1,0
65,14708,135,4,10,0.11,365,0,1,0,0,0,0,1,0
66,14991,100,5,18,0.17,365,0,0,1,0,0,0,1,0
67,15220,69,3,273,2.47,303,0,0,1,0,0,0,1,0
68,15230,185,2,9,0.09,365,0,1,0,0,0,1,0,0
69,15338,49,4,135,1.22,365,0,1,0,0,0,0,1,0
70,15341,180,30,18,0.28,155,0,0,1,0,0,1,0,0
71,15385,78,2,36,0.34,327,0,1,0,0,0,0,1,0
72,15396,375,180,5,0.14,179,0,0,1,0,0,1,0,0
73,15491,69,2,5,0.05,365,0,1,0,0,0,0,1,0
74,15493,59,2,24,0.22,365,0,1,0,0,0,0,1,0
75,15509,59,2,13,0.12,0,0,1,0,0,0,0,1,0
76,16284,179,7,80,0.72,294,0,0,1,0,0,1,0,0
77,16326,200,28,143,1.4,204,0,1,0,0,0,1,0,0
78,16338,55,7,27,0.24,313,0,1,0,0,0,0,1,0
79,16421,52,30,189,1.71,298,0,0,1,0,0,0,1,0
80,16458,225,3,4,0.21,0,0,1,0,0,0,1,0,0
81,16580,80,1,303,4.57,92,0,0,1,0,0,0,1,0
