,id,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,neighbourhood_Harlem,neighbourhood_Morningside Heights,neighbourhood_Upper West Side,Accuracy,Communication,Cleanliness,Location,Check-In,Value
1,5203,79,2,118,1.03,0,0,1,0,0,0,1,10.0,10.0,10.0,10.0,10.0,10.0
2,5295,135,5,43,0.36,53,1,0,0,0,0,1,10.0,10.0,9.0,9.0,10.0,9.0
3,6021,85,2,100,0.84,365,0,1,0,0,0,1,9.0,10.0,10.0,9.0,10.0,9.0
4,9668,50,3,230,2.02,348,0,1,0,1,0,0,9.0,9.0,7.0,9.0,9.0,9.0
5,9704,52,2,80,1.41,365,0,1,0,1,0,0,10.0,10.0,9.0,10.0,10.0,10.0
6,9783,50,3,259,2.35,355,0,1,0,1,0,0,9.0,9.0,7.0,9.0,9.0,9.0
7,12318,135,4,76,0.68,196,0,1,0,0,0,1,9.0,10.0,10.0,10.0,10.0,9.0
8,12343,150,7,94,0.85,268,1,0,0,1,0,0,10.0,10.0,9.0,9.0,10.0,9.0
9,13552,120,4,199,1.78,9,1,0,0,0,0,1,10.0,10.0,10.0,10.0,10.0,10.0
10,14287,170,2,54,0.49,313,1,0,0,0,0,1,10.0,10.0,9.0,10.0,10.0,9.0
11,19159,110,31,52,0.5,230,1,0,0,1,0,0,10.0,10.0,10.0,8.0,9.0,9.0
12,21456,140,5,76,0.7,260,1,0,0,0,0,1,9.0,10.0,9.0,10.0,10.0,9.0
13,21644,89,1,1,0.26,365,0,1,0,1,0,0,10.0,10.0,10.0,10.0,10.0,8.0
14,22918,60,3,11,1.48,63,0,1,0,1,0,0,9.0,10.0,8.0,9.0,9.0,9.0
15,23545,240,4,214,1.99,180,1,0,0,1,0,0,10.0,9.0,10.0,9.0,10.0,9.0
16,25696,100,2,163,1.62,354,0,1,0,1,0,0,10.0,10.0,10.0,10.0,10.0,9.0
17,27006,235,6,26,0.27,94,1,0,0,0,0,1,9.0,10.0,9.0,10.0,10.0,9.0
18,27644,170,2,174,1.92,360,1,0,0,1,0,0,9.0,10.0,10.0,9.0,10.0,9.0
19,27759,170,7,12,0.12,124,1,0,0,0,0,1,9.0,10.0,8.0,9.0,10.0,9.0
20,29455,98,3,143,1.37,145,1,0,0,1,0,0,9.0,10.0,10.0,9.0,10.0,10.0
24,41513,80,3,2,0.04,0,1,0,0,1,0,0,10.0,10.0,8.0,8.0,10.0,8.0
25,44506,165,3,72,0.7,218,1,0,0,1,0,0,9.0,9.0,9.0,9.0,9.0,9.0
26,45542,100,2,18,3.75,0,1,0,0,1,0,0,10.0,10.0,9.0,9.0,10.0,9.0
27,45936,99,4,120,1.22,360,0,1,0,0,1,0,9.0,10.0,9.0,10.0,10.0,9.0
30,54544,140,1,96,0.97,344,1,0,0,1,0,0,9.0,9.0,9.0,9.0,9.0,9.0
31,55320,90,5,83,0.84,34,1,0,0,1,0,0,10.0,10.0,9.0,10.0,10.0,9.0
32,56859,75,1,177,1.79,357,0,1,0,1,0,0,9.0,9.0,9.0,9.0,9.0,9.0
33,57874,155,3,205,2.04,225,1,0,0,1,0,0,10.0,10.0,10.0,9.0,10.0,10.0
34,58059,60,1,431,4.55,271,0,1,0,1,0,0,9.0,9.0,10.0,10.0,9.0,9.0
35,60666,110,1,175,1.78,356,0,1,0,1,0,0,9.0,9.0,9.0,9.0,9.0,9.0
36,60673,175,2,1,0.25,365,0,1,0,1,0,0,8.0,10.0,10.0,10.0,10.0,8.0
37,60794,195,4,4,0.04,0,1,0,0,0,0,1,10.0,10.0,10.0,10.0,9.0,10.0
38,61406,80,14,1,0.33,31,0,1,0,1,0,0,10.0,10.0,8.0,10.0,10.0,10.0
39,65019,115,2,174,1.84,14,1,0,0,0,0,1,10.0,10.0,10.0,10.0,10.0,10.0
40,65813,75,3,20,0.28,337,0,1,0,1,0,0,10.0,10.0,10.0,10.0,10.0,10.0
41,66718,135,6,173,1.82,191,1,0,0,1,0,0,9.0,10.0,9.0,9.0,10.0,9.0
42,67397,122,3,84,0.89,279,0,1,0,0,1,0,10.0,10.0,10.0,10.0,10.0,10.0
43,68099,109,1,98,1.05,365,0,1,0,0,0,1,8.0,9.0,8.0,9.0,9.0,8.0
44,68735,195,11,29,0.32,346,1,0,0,0,0,1,10.0,10.0,10.0,10.0,10.0,10.0
45,69894,150,30,41,0.5,57,1,0,0,0,0,1,10.0,10.0,9.0,10.0,10.0,9.0
46,72190,110,13,37,0.4,10,1,0,0,0,0,1,9.0,10.0,8.0,10.0,10.0,9.0
48,102995,212,21,45,0.48,4,1,0,0,0,0,1,9.0,10.0,9.0,10.0,10.0,9.0
49,105790,59,4,131,1.5,365,0,1,0,1,0,0,10.0,10.0,10.0,10.0,10.0,10.0
50,106363,60,3,357,3.8,215,0,1,0,1,0,0,10.0,10.0,10.0,10.0,10.0,10.0
51,107895,120,5,47,0.57,116,1,0,0,0,0,1,9.0,9.0,10.0,10.0,9.0,9.0
52,112304,90,1,1,0.03,0,0,1,0,1,0,0,10.0,10.0,8.0,8.0,10.0,10.0
53,115535,65,21,30,0.32,358,0,1,0,1,0,0,10.0,10.0,9.0,9.0,10.0,10.0
54,115678,99,1,297,3.17,274,1,0,0,1,0,0,9.0,10.0,9.0,9.0,9.0,9.0
55,123784,110,2,126,1.35,355,1,0,0,1,0,0,10.0,10.0,9.0,10.0,10.0,9.0
56,126816,85,1,3,0.03,0,0,1,0,0,0,1,7.0,9.0,6.0,10.0,9.0,9.0
57,128975,130,1,110,1.18,337,1,0,0,1,0,0,9.0,9.0,9.0,9.0,9.0,9.0
