,Stars,Accuracy,Communication,Cleanliness,Location,Check-In,Value
3647,null,,,,,,
5203,5,10,10,10,10,10,10
5295,4.5,10,10,9,9,10,9
6021,4.5,9,10,10,9,10,9
9668,4.5,9,9,7,9,9,9
9704,5,10,10,9,10,10,10
9783,4.5,9,9,7,9,9,9
12318,4.5,9,10,10,10,10,9
12343,5,10,10,9,9,10,9
13552,4.5,10,10,10,10,10,10
14287,4.5,10,10,9,10,10,9
19159,4.5,10,10,10,8,9,9
21456,4.5,9,10,9,10,10,9
21644,null,10,10,10,10,10,8
22918,4,9,10,8,9,9,9
23545,5,10,9,10,9,10,9
25696,5,10,10,10,10,10,9
27006,4.5,9,10,9,10,10,9
27644,5,9,10,10,9,10,9
27759,4.5,9,10,8,9,10,9
29455,4.5,9,10,10,9,10,10
33156,,,,,,,
39586,,,,,,,
41386,,,,,,,
41513,null,10,10,8,8,10,8
44506,4.5,9,9,9,9,9,9
45542,5,10,10,9,9,10,9
45936,4.5,9,10,9,10,10,9
49715,,,,,,,
54466,null,,,,,,
54544,4.5,9,9,9,9,9,9
55320,5,10,10,9,10,10,9
56859,4.5,9,9,9,9,9,9
57874,5,10,10,10,9,10,10
58059,4.5,9,9,10,10,9,9
60666,4.5,9,9,9,9,9,9
60673,null,8,10,10,10,10,8
60794,5,10,10,10,10,9,10
61406,null,10,10,8,10,10,10
65019,5,10,10,10,10,10,10
65813,5,10,10,10,10,10,10
66718,4.5,9,10,9,9,10,9
67397,5,10,10,10,10,10,10
68099,4.5,8,9,8,9,9,8
68735,5,10,10,10,10,10,10
69894,5,10,10,9,10,10,9
72190,4.5,9,10,8,10,10,9
75524,null,,,,,,
102995,4.5,9,10,9,10,10,9
105790,5,10,10,10,10,10,10
106363,5,10,10,10,10,10,10
107895,4.5,9,9,10,10,9,9
112304,null,10,10,8,8,10,10
115535,5,10,10,9,9,10,10
115678,4.5,9,10,9,9,9,9
123784,4.5,10,10,9,10,10,9
126816,3.5,7,9,6,10,9,9
128975,4.5,9,9,9,9,9,9
130439,5,10,10,10,10,10,10
144087,5,10,10,9,9,10,9
145994,null,8,10,9,9,8,8
147586,5,10,10,10,9,10,10
148825,4.5,10,10,9,10,10,9
152259,4.5,9,9,9,9,9,9
152263,5,10,10,10,10,10,10
154934,4.5,9,10,8,8,10,9
160609,4.5,9,10,9,10,10,9
161996,4.5,10,10,9,9,10,10
163809,5,10,10,9,10,10,9
165461,4.5,9,10,9,10,10,9
167482,5,10,10,9,10,10,9
169002,4.5,10,10,10,9,10,9
171304,,,,,,,
171776,5,10,10,10,9,10,9
172870,5,10,10,10,9,10,10
173072,5,10,10,10,10,10,10
174966,5,10,10,10,9,10,9
179428,4.5,9,9,9,9,9,9
181972,5,10,10,9,9,10,10
194154,4.5,9,10,9,9,9,9
197753,4.5,10,10,10,9,10,10
197903,4.5,9,9,9,9,9,9
198786,,,,,,,
199195,5,10,10,9,9,10,10
215907,5,10,10,10,9,10,9
218358,4.5,9,10,8,10,9,9
219922,5,10,10,9,9,10,9
220351,4.5,9,10,9,9,10,9
224006,4.5,10,10,9,9,10,10
234034,3.5,8,9,7,10,9,7
234184,5,10,10,9,9,10,10
250536,5,10,10,10,9,10,10
250537,null,,,,,,
251277,5,10,10,10,10,10,10
253590,5,10,10,9,10,10,10
253623,4.5,9,10,9,9,10,9
258740,5,10,10,10,10,10,10
263232,null,,,,,,
264323,4.5,9,10,9,9,10,9
266146,4.5,9,9,9,10,10,9
266155,5,9,10,9,10,10,9
268362,,,,,,,
268392,4.5,10,9,9,9,9,9
274062,5,10,10,9,9,10,9
276120,,,,,,,
276482,4.5,8,10,9,9,10,9
279093,null,10,10,8,10,10,10
281851,5,10,10,10,10,10,10
286838,4.5,9,10,9,9,10,9
293004,null,,,,,,
294250,5,9,10,9,10,9,9
295998,5,10,10,9,10,10,10
301034,5,10,10,10,10,10,10
