,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,room_type_Entire home/apt,room_type_Private room,room_type_Shared room
0,137,7,1,1.0,65,0,0,1,0,0,1,0,0
1,149,1,9,0.23,365,0,1,0,0,0,0,1,0
2,225,1,43,0.38,365,0,0,1,0,0,1,0,0
3,70,5,39,0.35,290,0,1,0,0,0,0,1,0
4,150,3,0,0.0,365,0,0,1,0,0,0,1,0
5,89,1,231,4.37,162,0,1,0,0,0,1,0,0
6,80,10,9,0.11,48,0,0,1,0,0,1,0,0
7,185,2,70,0.59,0,0,0,1,0,0,1,0,0
8,60,45,49,0.42,0,0,1,0,0,0,0,1,0
9,79,2,410,3.46,150,0,0,1,0,0,0,1,0
10,79,2,118,1.03,0,0,0,1,0,0,0,1,0
11,126,26,35,0.29,337,0,0,1,0,0,1,0,0
12,150,1,153,1.33,262,0,0,1,0,0,1,0,0
13,135,5,43,0.36,53,0,0,1,0,0,1,0,0
14,85,2,170,1.41,0,0,0,1,0,0,0,1,0
15,175,3,38,0.32,41,0,0,1,0,0,1,0,0
16,89,4,162,1.36,336,0,1,0,0,0,0,1,0
17,85,2,100,0.84,365,0,0,1,0,0,0,1,0
18,175,100,27,0.23,108,0,0,1,0,0,1,0,0
19,140,2,122,1.03,92,0,1,0,0,0,1,0,0
20,75,30,229,2.03,315,0,0,1,0,0,0,1,0
21,65,3,4,0.04,365,0,1,0,0,0,0,1,0
22,215,2,179,1.62,330,0,1,0,0,0,1,0,0
23,140,1,246,2.1,0,0,0,1,0,0,0,1,0
24,99,3,31,4.63,76,0,1,0,0,0,1,0,0
25,299,3,9,0.08,0,0,1,0,0,0,1,0,0
26,120,35,38,0.33,254,0,0,1,0,0,1,0,0
27,130,2,124,1.09,365,0,1,0,0,0,0,1,0
28,100,2,64,0.58,365,0,1,0,0,0,0,1,0
29,211,3,16,0.18,8,0,0,1,0,0,1,0,0
30,120,2,77,0.67,242,0,1,0,0,0,1,0,0
31,60,1,16,1.85,89,0,1,0,0,0,0,1,0
32,80,4,0,0.0,0,0,0,1,0,0,0,1,0
33,150,10,58,0.51,60,0,0,1,0,0,1,0,0
34,44,3,106,1.15,344,0,0,1,0,0,0,1,0
35,180,2,27,0.24,195,0,0,1,0,0,1,0,0
36,50,3,230,2.02,348,0,0,1,0,0,0,1,0
37,52,2,80,1.41,365,0,0,1,0,0,0,1,0
38,55,4,188,1.65,342,0,1,0,0,0,0,1,0
39,50,3,259,2.35,355,0,0,1,0,0,0,1,0
40,70,1,72,0.67,250,0,1,0,0,0,0,1,0
41,89,4,164,1.44,319,0,1,0,0,0,0,1,0
42,35,60,0,0.0,337,0,1,0,0,0,0,1,0
43,85,2,206,1.83,45,0,1,0,0,0,1,0,0
44,150,1,0,0.0,365,0,1,0,0,0,0,1,0
45,40,1,209,1.85,268,0,0,1,0,0,0,0,1
46,68,2,237,2.1,26,0,0,1,0,0,0,1,0
47,120,3,11,0.34,364,0,1,0,0,0,1,0,0
48,120,7,25,0.24,365,0,1,0,0,0,0,1,0
49,135,4,76,0.68,196,0,0,1,0,0,0,1,0
50,150,7,94,0.85,268,0,0,1,0,0,1,0,0
51,150,7,6,0.35,0,0,1,0,0,0,1,0,0
52,130,3,230,2.19,225,0,0,0,1,0,0,1,0
53,110,7,56,0.5,0,0,1,0,0,0,1,0,0
54,115,3,11,0.1,155,0,1,0,0,0,1,0,0
55,80,3,130,1.17,294,0,1,0,0,0,0,1,0
56,120,4,199,1.78,9,0,0,1,0,0,1,0,0
57,80,1,107,1.01,195,0,1,0,0,0,0,1,0
58,170,2,54,0.49,313,0,0,1,0,0,1,0,0
59,224,3,75,0.67,177,0,1,0,0,0,1,0,0
60,144,2,139,1.25,196,0,1,0,0,0,1,0,0
61,200,7,17,0.21,200,0,0,1,0,0,1,0,0
62,140,2,102,0.92,26,0,1,0,0,0,1,0,0
63,85,3,15,0.84,304,0,0,1,0,0,0,1,0
64,145,4,6,0.07,364,0,1,0,0,0,0,1,0
65,135,4,10,0.11,365,0,1,0,0,0,0,1,0
66,100,5,18,0.17,365,0,0,1,0,0,0,1,0
67,69,3,273,2.47,303,0,0,1,0,0,0,1,0
68,185,2,9,0.09,365,0,1,0,0,0,1,0,0
69,49,4,135,1.22,365,0,1,0,0,0,0,1,0
70,180,30,18,0.28,155,0,0,1,0,0,1,0,0
71,78,2,36,0.34,327,0,1,0,0,0,0,1,0
72,375,180,5,0.14,179,0,0,1,0,0,1,0,0
73,69,2,5,0.05,365,0,1,0,0,0,0,1,0
74,59,2,24,0.22,365,0,1,0,0,0,0,1,0
75,59,2,13,0.12,0,0,1,0,0,0,0,1,0
76,179,7,80,0.72,294,0,0,1,0,0,1,0,0
77,200,28,143,1.4,204,0,1,0,0,0,1,0,0
78,55,7,27,0.24,313,0,1,0,0,0,0,1,0
79,52,30,189,1.71,298,0,0,1,0,0,0,1,0
80,225,3,4,0.21,0,0,1,0,0,0,1,0,0
81,80,1,303,4.57,92,0,0,1,0,0,0,1,0
82,270,1,135,1.34,365,0,1,0,0,0,1,0,0
83,79,1,97,1.23,364,0,0,1,0,0,0,1,0
84,225,4,172,1.55,158,0,0,1,0,0,1,0,0
85,59,2,5,0.05,365,0,1,0,0,0,0,1,0
86,51,20,19,0.4,230,0,0,1,0,0,0,1,0
