,id,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,neighbourhood_Harlem,neighbourhood_Morningside Heights,neighbourhood_Upper West Side
4,3647,150,3,0,0.0,365,0,1,0,1,0,0
10,5203,79,2,118,1.03,0,0,1,0,0,0,1
13,5295,135,5,43,0.36,53,1,0,0,0,0,1
17,6021,85,2,100,0.84,365,0,1,0,0,0,1
36,9668,50,3,230,2.02,348,0,1,0,1,0,0
37,9704,52,2,80,1.41,365,0,1,0,1,0,0
39,9783,50,3,259,2.35,355,0,1,0,1,0,0
49,12318,135,4,76,0.68,196,0,1,0,0,0,1
50,12343,150,7,94,0.85,268,1,0,0,1,0,0
56,13552,120,4,199,1.78,9,1,0,0,0,0,1
58,14287,170,2,54,0.49,313,1,0,0,0,0,1
100,19159,110,31,52,0.5,230,1,0,0,1,0,0
119,21456,140,5,76,0.7,260,1,0,0,0,0,1
120,21644,89,1,1,0.26,365,0,1,0,1,0,0
123,22918,60,3,11,1.48,63,0,1,0,1,0,0
127,23545,240,4,214,1.99,180,1,0,0,1,0,0
133,25696,100,2,163,1.62,354,0,1,0,1,0,0
142,27006,235,6,26,0.27,94,1,0,0,0,0,1
146,27644,170,2,174,1.92,360,1,0,0,1,0,0
148,27759,170,7,12,0.12,124,1,0,0,0,0,1
155,29455,98,3,143,1.37,145,1,0,0,1,0,0
174,33156,169,5,19,0.2,304,0,1,0,0,0,1
191,39586,193,1,180,1.78,365,1,0,0,0,0,1
196,41386,109,7,22,0.28,0,1,0,0,1,0,0
197,41513,80,3,2,0.04,0,1,0,0,1,0,0
207,44506,165,3,72,0.7,218,1,0,0,1,0,0
210,45542,100,2,18,3.75,0,1,0,0,1,0,0
215,45936,99,4,120,1.22,360,0,1,0,0,1,0
226,49715,95,2,123,1.21,25,0,1,0,1,0,0
239,54466,200,30,0,0.0,365,0,1,0,1,0,0
241,54544,140,1,96,0.97,344,1,0,0,1,0,0
244,55320,90,5,83,0.84,34,1,0,0,1,0,0
253,56859,75,1,177,1.79,357,0,1,0,1,0,0
258,57874,155,3,205,2.04,225,1,0,0,1,0,0
259,58059,60,1,431,4.55,271,0,1,0,1,0,0
271,60666,110,1,175,1.78,356,0,1,0,1,0,0
272,60673,175,2,1,0.25,365,0,1,0,1,0,0
274,60794,195,4,4,0.04,0,1,0,0,0,0,1
279,61406,80,14,1,0.33,31,0,1,0,1,0,0
311,65019,115,2,174,1.84,14,1,0,0,0,0,1
317,65813,75,3,20,0.28,337,0,1,0,1,0,0
324,66718,135,6,173,1.82,191,1,0,0,1,0,0
329,67397,122,3,84,0.89,279,0,1,0,0,1,0
330,68099,109,1,98,1.05,365,0,1,0,0,0,1
332,68735,195,11,29,0.32,346,1,0,0,0,0,1
336,69894,150,30,41,0.5,57,1,0,0,0,0,1
347,72190,110,13,37,0.4,10,1,0,0,0,0,1
355,75524,39,1,0,0.0,89,0,0,1,1,0,0
401,102995,212,21,45,0.48,4,1,0,0,0,0,1
407,105790,59,4,131,1.5,365,0,1,0,1,0,0
408,106363,60,3,357,3.8,215,0,1,0,1,0,0
412,107895,120,5,47,0.57,116,1,0,0,0,0,1
415,112304,90,1,1,0.03,0,0,1,0,1,0,0
422,115535,65,21,30,0.32,358,0,1,0,1,0,0
423,115678,99,1,297,3.17,274,1,0,0,1,0,0
432,123784,110,2,126,1.35,355,1,0,0,1,0,0
437,126816,85,1,3,0.03,0,0,1,0,0,0,1
439,128975,130,1,110,1.18,337,1,0,0,1,0,0
440,130439,69,1,7,0.09,321,0,1,0,1,0,0
465,144087,259,8,16,0.17,365,1,0,0,1,0,0
470,145994,95,5,2,0.11,0,1,0,0,0,0,1
472,147586,295,2,59,0.64,308,1,0,0,1,0,0
475,148825,165,2,174,2.11,223,1,0,0,0,0,1
483,152259,75,3,115,1.24,365,0,1,0,1,0,0
484,152263,300,2,183,2.04,263,1,0,0,1,0,0
488,154934,75,1,38,0.45,365,0,1,0,1,0,0
500,160609,200,3,10,0.13,27,1,0,0,0,0,1
504,161996,480,3,214,2.32,265,1,0,0,1,0,0
508,163809,198,5,36,0.4,250,1,0,0,1,0,0
512,165461,75,5,57,0.63,267,0,1,0,0,1,0
519,167482,185,2,120,1.31,88,1,0,0,0,0,1
522,169002,65,1,36,0.4,365,0,1,0,1,0,0
529,171304,139,3,88,0.96,5,1,0,0,0,0,1
530,171776,170,2,17,0.19,88,0,1,0,1,0,0
532,172870,99,5,43,0.49,274,0,1,0,1,0,0
533,173072,49,2,134,4.28,229,0,0,1,1,0,0
538,174966,2000,30,26,0.3,365,1,0,0,0,0,1
545,179428,53,2,62,0.68,310,0,1,0,1,0,0
551,181972,199,2,104,1.16,113,1,0,0,1,0,0
576,194154,89,6,35,0.39,365,0,1,0,0,0,1
583,197753,65,2,278,3.95,185,0,1,0,1,0,0
584,197903,50,3,65,0.72,306,0,1,0,1,0,0
587,198786,174,3,275,3.04,126,1,0,0,0,0,1
588,199195,75,3,49,0.68,89,0,1,0,1,0,0
621,215907,300,2,44,0.49,39,1,0,0,0,0,1
624,218358,80,10,17,0.35,260,0,1,0,1,0,0
627,219922,100,1,31,0.38,89,0,1,0,1,0,0
628,220351,55,4,98,1.09,0,0,1,0,1,0,0
638,224006,300,55,6,0.09,83,1,0,0,1,0,0
664,234034,325,3,52,0.74,345,1,0,0,0,0,1
665,234184,311,5,84,0.94,134,1,0,0,1,0,0
717,250536,125,1,11,0.13,365,0,1,0,1,0,0
718,250537,400,5,0,0.0,365,1,0,0,1,0,0
721,251277,140,1,105,1.2,363,0,1,0,0,0,1
728,253590,185,2,12,0.19,268,1,0,0,0,0,1
729,253623,81,2,72,0.82,0,0,1,0,1,0,0
761,258740,58,1,143,3.15,0,0,1,0,1,0,0
778,263232,155,1,1,1.0,75,1,0,0,1,0,0
781,264323,85,4,170,1.93,307,0,1,0,0,1,0
788,266146,109,30,34,0.39,351,1,0,0,0,0,1
789,266155,167,30,15,0.17,339,1,0,0,0,0,1
798,268362,279,123,6,0.09,362,1,0,0,0,0,1
799,268392,130,2,34,0.43,72,1,0,0,1,0,0
825,274062,99,2,42,0.75,89,0,1,0,1,0,0
832,276120,235,2,289,3.35,92,1,0,0,0,0,1
835,276482,85,4,129,1.49,364,0,1,0,1,0,0
845,279093,200,14,2,0.07,363,1,0,0,1,0,0
852,281851,99,1,77,1.93,353,0,1,0,1,0,0
868,286838,75,2,101,1.17,0,0,1,0,1,0,0
893,293004,110,1,0,0.0,0,1,0,0,1,0,0
898,294250,150,1,85,1.01,0,1,0,0,0,0,1
908,295998,300,3,35,0.49,117,1,0,0,0,0,1
924,301034,140,2,36,0.43,32,0,1,0,1,0,0
927,302238,350,30,6,0.07,268,1,0,0,1,0,0
928,302280,250,30,6,0.07,205,1,0,0,1,0,0
929,302309,350,30,2,0.03,325,1,0,0,1,0,0
932,303264,350,30,7,0.09,339,1,0,0,1,0,0
934,303462,145,1,0,0.0,123,1,0,0,0,0,1
937,304799,150,7,10,0.12,0,1,0,0,0,0,1
